"","lib1_tag_ACACAC","lib1_tag_ACAGCA","lib1_tag_ACATGT","lib1_tag_ACGACG","lib1_tag_ACTAGC","lib1_tag_ACTCTG","lib1_tag_ACTGAT","lib1_tag_ATATCG","lib1_tag_ATCAGT","lib1_tag_ATGATA","lib1_tag_CACGAT","lib1_tag_CGACGC","lib1_tag_CTCGCA","lib1_tag_CTGCGT","lib1_tag_GATGAC","lib1_tag_GCAGTG","lib1_tag_GCGAGT","lib1_tag_GCGCTC","lib1_tag_GCGTAG","lib1_tag_GTCTCT","lib1_tag_TACGTG","lib1_tag_TCGCAT","lib1_tag_TCGTCA","lib1_tag_TCTGCG","lib1_tag_TGTATG","lib2_tag_ACACAC","lib2_tag_ACAGCA","lib2_tag_ACATGT","lib2_tag_ACGACG","lib2_tag_ACTAGC","lib2_tag_ACTCTG","lib2_tag_ACTGAT","lib2_tag_ATATCG","lib2_tag_ATCAGT","lib2_tag_ATGATA","lib2_tag_CACGAT","lib2_tag_CGACGC","lib2_tag_CTCGCA","lib2_tag_CTGCGT","lib2_tag_GATGAC","lib2_tag_GCAGTG","lib2_tag_GCGAGT","lib2_tag_GCGCTC","lib2_tag_GCGTAG","lib2_tag_GTCTCT","lib2_tag_TACGTG","lib2_tag_TCGCAT","lib2_tag_TCGTCA","lib2_tag_TCTGCG","lib2_tag_TGTATG","lib3_tag_ACACAC","lib3_tag_ACAGCA","lib3_tag_ACATGT","lib3_tag_ACGACG","lib3_tag_ACTAGC","lib3_tag_ACTCTG","lib3_tag_ACTGAT","lib3_tag_ATATCG","lib3_tag_ATCAGT","lib3_tag_ATGATA","lib3_tag_CACGAT","lib3_tag_CGACGC","lib3_tag_CTCGCA","lib3_tag_CTGCGT","lib3_tag_GATGAC","lib3_tag_GCAGTG","lib3_tag_GCGAGT","lib3_tag_GCGCTC","lib3_tag_GCGTAG","lib3_tag_GTCTCT","lib3_tag_TACGTG","lib3_tag_TCGCAT","lib3_tag_TCGTCA","lib3_tag_TCTGCG","lib3_tag_TGTATG"
"DUP_859",0,0,6,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,21,0,5,14,0,29,0,0,7,0,0,2,12,0,0,0,0,1,0,0,0,2,0,0,1,22,0,5,17,0,28,0,0,4,0,0,10,22,0,1,0,0,2,0,0,0,0,0,0,0,17,0,5,16,0,23
"DUP_861",1,5,3,0,1,6,4,8,8,0,7,5,2,3,4,7,2,8,7,0,0,5,5,0,2,0,6,3,0,0,6,4,7,10,0,17,3,2,2,1,10,6,8,3,1,0,9,1,0,2,0,4,2,0,0,8,2,6,2,0,12,2,2,2,1,14,5,2,9,3,0,6,3,0,4
"DUP_862",0,0,6,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,26,0,15,0,0,5,0,0,9,22,0,0,0,0,0,0,0,0,0,0,1,0,25,0,8,23,0,23,0,0,9,0,0,5,10,0,1,0,1,1,0,0,0,1,0,0,1,17,0,7,11,0,14
"DUP_869",0,0,6,0,0,10,16,0,0,0,0,1,0,0,0,0,0,0,1,22,0,7,19,0,13,0,0,8,0,0,4,14,0,1,0,0,0,0,0,0,1,0,0,0,30,0,6,21,0,22,0,0,6,0,0,6,5,0,1,0,0,0,0,0,0,1,0,0,0,21,0,5,21,0,14
"DUP_872",0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DUP_873",0,0,6,0,0,7,19,0,0,0,1,1,0,0,0,0,0,0,0,11,0,11,22,0,10,0,0,10,0,0,4,18,0,1,0,2,0,0,0,0,1,0,0,0,20,0,14,17,0,22,0,0,8,0,0,6,17,0,0,0,1,1,2,0,0,0,0,0,0,16,0,5,15,0,13
"DUP_878",8,6,2,0,0,0,6,9,0,0,0,17,14,0,5,19,0,7,10,1,0,0,0,0,4,4,7,1,0,0,0,12,4,0,1,0,13,8,0,2,21,0,3,19,1,1,0,2,0,1,5,11,1,0,0,0,15,4,0,0,0,7,10,0,6,17,0,0,13,2,0,0,0,0,4
"DUP_880",0,6,6,19,22,0,0,12,8,0,0,9,4,2,1,2,7,0,0,0,0,0,0,0,0,0,7,8,13,21,0,0,11,7,0,0,14,1,4,4,0,5,0,0,0,0,0,0,0,2,0,5,6,26,24,0,0,10,7,0,0,13,5,4,3,0,10,1,0,0,0,0,0,0,4
"DUP_885",0,0,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0,1
"DUP_887",3,4,0,0,1,4,3,9,7,0,15,1,1,3,1,12,1,1,4,6,0,5,1,0,4,1,4,2,0,0,8,0,9,3,0,12,3,1,7,0,9,0,2,8,4,0,12,5,0,5,1,4,2,0,0,7,3,7,6,0,16,1,7,3,2,10,2,4,1,2,0,11,2,0,5
